No,mnodule,class_id,attr_id,Trype,Level,Card,Oject Class term (entity),Property term (attribute),Representation term,Associated class,Referenced Class,(domain),Tag,Description,Ref. Object Class,Ref. Property
1308,Inventory,NV05,12,RFBIE,1,0..1,Inventory Transaction,Supplier Account ID,,,Supplier,IDENTIFIER 100,SuplAcntId,Unique identifier for the supplier.Typically auto-generated by the system.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table.,BAS SUPPLIER,Supplier Account ID
1309,Inventory,NV05,13,RFBIE,1,0..1,Inventory Transaction,Customer Account ID,,,Customer,IDENTIFIER 100,CustAcntId,Unique identifier for the receiving customer.Typically auto-generated by the system.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table.,BAS CUSTOMER,Customer Account ID
1310,Inventory,NV05,14,BBIE,1,0..1,Inventory Transaction,Inventory Document ID,Text,,,TEXT 60,InvDocId,"Unique identifier for the inventory document, specifying the sources where the inventory originates.Typically auto-generated by the system.",,
1311,Inventory,NV05,15,BBIE,1,0..1,Inventory Transaction,Inventory Document Number,Code,,,TEXT 80,InvDocNr,Number of the inventory document.This number is usually generated by manual input or is system-generated.EXAMPLE   201305020001.,,
1312,Inventory,NV05,16,BBIE,1,0..1,Inventory Transaction,Inventory Document Line ID,Text,,,TEXT 60,InvDocLnId,Unique identifier for the inventory document line.Typically auto-generated by the system.,,
1313,Inventory,NV05,17,BBIE,1,0..1,Inventory Transaction,Inventory Document Line Number,Code,,,TEXT 10,InvDocLnNr,Number of the inventory document line.This number is generated either by manual input or by the system.,,
1314,Inventory,NV05,18,BBIE,1,0..1,Inventory Transaction,Status,Code,,,STATUS CODE,Stat,"Status of the inventory document.EXAMPLE   New, save, submit, void, frozen.",,
1315,Inventory,NV05,19,RFBIE,1,0..1,Inventory Transaction,Inventory Organization Code,,,Business Segment,IDENTIFIER 25,InvOrgCd,"Code for the inventory organization, which refers to the organizational unit, physical or virtual, where the inventory transaction and balances may be tracked and monitored.It provides inventory information to modules such as purchase and sales. The simplest form of inventory organization is warehouse.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",BAS BUSINESS SEGMENT,Business Segment Code
1316,Inventory,NV05,20,RFBIE,1,0..1,Inventory Transaction,Inventory Stocking UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,InvStckUomCd,Code for the measurement unit used associated with the quantity used for stocking inventory.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
1317,Inventory,NV05,21,RFBIE,1,0..1,Inventory Transaction,Inventory Costing UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,InvCstngUomCd,Code for the measurement unit for the inventory's cost.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
1318,Inventory,NV05,22,RFBIE,1,0..1,Inventory Transaction,Inventory Product ID,,,Inventory Product,IDENTIFIER 75,InvPrdctId,Unique identifier for the inventory item.Typically auto-generated by the system.Shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct] table.,INV PRODUCT,Inventory Product ID
1319,Inventory,NV05,23,BBIE,1,0..1,Inventory Transaction,Lot Number,Code,,,TEXT 60,LotNr,Number associated with a product that is used for tracking and managing the lot.,,
1320,Inventory,NV05,24,BBIE,1,0..1,Inventory Transaction,Serial Number,Code,,,TEXT 60,SerialNr,"Number associated with an individual product item that is used for tracking and managing.EXAMPLE   A company purchases 10 computers, with each computer assigned an individual serial number.",,
1321,Inventory,NV05,25,BBIE,1,0..1,Inventory Transaction,Inventory Required By,Text,,,TEXT 80,InvRequiredBy,Person or organization that makes the requisition for an inventory.,,
1322,Inventory,NV05,26,RFBIE,1,0..1,Inventory Transaction,Inventory From Location ID,,,Inventory Location,IDENTIFIER 75,InvFromLctId,Unique identifier for the stock trading source location.Typically auto-generated by the system.Shall match the Location_ID [LctId] in the INV_Location [InvLct] table.,INV LOCATION,Location ID
1323,Inventory,NV05,27,RFBIE,1,0..1,Inventory Transaction,Inventory To Location ID,,,Inventory Location,IDENTIFIER 75,InvToLctId,Unique identifier for the stock trading destination.Typically auto-generated by the system.Shall match the Location_ID [LctId] in the INV_Location [InvLct] table.,INV LOCATION,Location ID
1324,Inventory,NV05,28,RFBIE,1,0..1,Inventory Transaction,Cost Organization Code,,,Business Segment,IDENTIFIER 25,CostOrgCd,"Code for the cost organization, which refers to the organizational unit/level where the cost of outbound inventory will be calculated.The calculation may be done at the corporate level, the stocking organization level or at the particular locations where inventory is stored.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",BAS BUSINESS SEGMENT,Business Segment Code
1325,Inventory,NV05,29,BBIE,1,0..1,Inventory Transaction,Inventory Cost,Monatary Amount,,,AMOUNT,InvCost,Cost per unit using the method found in the Inventory_Cost_Method [InvCostMthd].,,
1326,Inventory,NV05,30,BBIE,1,0..1,Inventory Transaction,Transaction Adjustment Cost,Monatary Amount,,,AMOUNT,TrAdjCost,Per unit increase or decrease in the stocking cost as represented in field Inventory_Cost_Method [InvCostMthd] of the INV_On_Hand [InvOnHand] table.,,
1327,Inventory,NV05,31,RFBIE,1,0..1,Inventory Transaction,Functional Currency Code,,,Currency,CURRENCY CODE,FuncCurCd,Functional or group currency related to the balance (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
1328,Inventory,NV05,32,BBIE,1,0..1,Inventory Transaction,INV System Or External Source,Code,,,SOURCE CODE,InvSystOrExtSrc,Indicates whether the inventory transaction has originated within or outside the Inventory module.I is used for an internally initiated transaction and E is used for an externally initiated one.EXAMPLE   Purchase or sale.,,
1329,Inventory,NV05,33,BBIE,1,0..1,Inventory Transaction,INV Received And Dispatched Flag,Code,,,BOOLEAN,InvRcvdAndDispedFlag,Indicates whether the inventory is received or dispatched.,,
1330,Inventory,NV05,34,RFBIE,1,0..1,Inventory Transaction,GL Line Debit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlLnDbAcntNr,Number of the GL account on which the debit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
1331,Inventory,NV05,35,RFBIE,1,0..1,Inventory Transaction,GL Line Credit Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,GlLnCrAcntNr,Number of the GL account on which the credit side of the transaction has been posted.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
1332,Inventory,NV05,NV56,ASBIE,1,0..1,Inventory Transaction,Specified,,Posted,,,Posted,Information about the data that was posted.,,
1333,Inventory,NV56,01,RFBIE,2,0..1,Posted,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1334,Inventory,NV56,02,BBIE,2,0..1,Posted,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1335,Inventory,NV56,03,BBIE,2,0..1,Posted,Time,Time,,,TIME,Tm,The time of activity.,,
1336,Inventory,NV05,NV57,ASBIE,1,0..1,Inventory Transaction,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
1337,Inventory,NV57,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1338,Inventory,NV57,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1339,Inventory,NV57,03,BBIE,2,0..1,Created,Time,Time,,,TIME,Tm,The time of activity.,,
1340,Inventory,NV05,NV58,ASBIE,1,0..1,Inventory Transaction,Specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
1341,Inventory,NV58,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1342,Inventory,NV58,02,BBIE,2,0..1,Approved,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1343,Inventory,NV58,03,BBIE,2,0..1,Approved,Time,Time,,,TIME,Tm,The time of activity.,,
1344,Inventory,NV05,NV59,ASBIE,1,0..1,Inventory Transaction,Specified,,Last Modified,,,LstMdf,Information about the data was  last modified within the system.,,
1345,Inventory,NV59,01,RFBIE,2,0..1,Last Modified,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1346,Inventory,NV59,02,BBIE,2,0..1,Last Modified,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1347,Inventory,NV59,03,BBIE,2,0..1,Last Modified,Time,Time,,,TIME,Tm,The time of activity.,,
1348,Inventory,NV05,NV60,ASBIE,1,0..n,Inventory Transaction,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
1349,Inventory,NV60,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
1350,Inventory,NV60,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
1351,Inventory,NV06,,ABIE,0,--,Physical Inventory,,,,,,InvPhysInv,Contains the quantities on hand as of the date of the physical inventory count as well as the flow information.,,
1352,Inventory,NV06,01,BBIE,1,1..1,Inventory Physical Inventory,Inventory Count Sheet ID,Identifier,,,IDENTIFIER 60,InvCountShtId,Unique identifier for the inventory count sheet.Typically auto-generated by the system.,,
1353,Inventory,NV06,02,BBIE,1,0..1,Inventory Physical Inventory,Inventory Count Sheet Number,Code,,,TEXT 80,InvCountShtNr,Number of the inventory count sheet.This number is generated either by manual input or by the system.,,
1354,Inventory,NV06,03,BBIE,1,1..1,Inventory Physical Inventory,Inventory Count Sheet Line ID,Identifier,,,IDENTIFIER 60,InvCountShtLnId,Unique identifier for the inventory count sheet line.Typically auto-generated by the system.,,
1355,Inventory,NV06,04,BBIE,1,0..1,Inventory Physical Inventory,INV Count Sheet Line Number,Code,,,TEXT 10,InvCountShtLnNr,Number of the line of the inventory count sheet.This number is generated either by manual input or by the system.,,
1356,Inventory,NV06,05,RFBIE,1,0..1,Inventory Physical Inventory,Inventory Product ID,,,Inventory Product,IDENTIFIER 75,InvPrdctId,Unique identifier for the inventory item.Typically auto-generated by the system.Shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct] table.,INV PRODUCT,Inventory Product ID
1357,Inventory,NV06,06,RFBIE,1,0..1,Inventory Physical Inventory,Location ID,,,Inventory Location,IDENTIFIER 75,LctId,Unique identifier for the organization.Shall be a valid entry in INV_Location [InvLct].Typically auto-generated by the system and used for data linking.Shall match the Location_ID [LctId] in the INV_Location [InvLct] table.,INV LOCATION,Location ID
1358,Inventory,NV06,07,RFBIE,1,0..1,Inventory Physical Inventory,Inventory Organization Code,,,Business Segment,IDENTIFIER 25,InvOrgCd,Code for the inventory organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
1359,Inventory,NV06,08,BBIE,1,0..1,Inventory Physical Inventory,Lot Number,Code,,,TEXT 60,LotNr,Number associated with a product that is used for tracking and managing the lot.,,
1360,Inventory,NV06,09,BBIE,1,0..1,Inventory Physical Inventory,Serial Number,Code,,,TEXT 60,SerialNr,"Number associated with an individual product item that is used for tracking and managing.EXAMPLE   A company purchases 10 computers, with each computer assigned an individual serial number.",,
1361,Inventory,NV06,10,BBIE,1,0..1,Inventory Physical Inventory,Bin ID,Text,,,TEXT 25,BinId,Optional identifier for the sub-location. The code used in the system.,,
1362,Inventory,NV06,11,BBIE,1,0..1,Inventory Physical Inventory,Count Date,Date,,,DATE,CountDt,Date of the physical count.,,
1363,Inventory,NV06,12,RFBIE,1,0..1,Inventory Physical Inventory,Inventory Stocking UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,InvStckUomCd,Code for the measurement unit used associated with the quantity used for stocking inventory.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
1364,Inventory,NV06,13,BBIE,1,0..1,Inventory Physical Inventory,System Quantity,Quantity,,,QUANTITY,SystQt,Actual quantity on hand from the physical count in the Basic_UOM_Code [BasicUomCd].,,
1365,Inventory,NV06,14,BBIE,1,0..1,Inventory Physical Inventory,Phisical Count Quantity,Quantity,,,QUANTITY,PhisicalCountQt,Quantity on hand at the last physical count when multiple counts are performed in the Basic_UOM_Code [BasicUomCd].,,
1366,Inventory,NV06,15,BBIE,1,0..1,Inventory Physical Inventory,Comment,Text,,,TEXT 200,Comment,"Comments on the count, variances or other information captured.",,
1367,Inventory,NV06,NV61,ASBIE,1,0..1,Physical Inventory,Specified,,Posted,,,Posted,Information about the data that was posted.,,
1368,Inventory,NV61,01,RFBIE,2,0..1,Posted,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1369,Inventory,NV61,02,BBIE,2,0..1,Posted,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1370,Inventory,NV61,03,BBIE,2,0..1,Posted,Time,Time,,,TIME,Tm,The time of activity.,,
1371,Inventory,NV06,NV62,ASBIE,1,0..1,Physical Inventory,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
1372,Inventory,NV62,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1373,Inventory,NV62,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1374,Inventory,NV62,03,BBIE,2,0..1,Created,Time,Time,,,TIME,Tm,The time of activity.,,
1375,Inventory,NV06,NV63,ASBIE,1,0..1,Physical Inventory,Specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
1376,Inventory,NV63,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1377,Inventory,NV63,02,BBIE,2,0..1,Approved,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1378,Inventory,NV63,03,BBIE,2,0..1,Approved,Time,Time,,,TIME,Tm,The time of activity.,,
1379,Inventory,NV06,NV64,ASBIE,1,0..1,Physical Inventory,Specified,,Last Modified,,,LstMdf,Information about the data was  last modified within the system.,,
1380,Inventory,NV64,01,RFBIE,2,0..1,Last Modified,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
1381,Inventory,NV64,02,BBIE,2,0..1,Last Modified,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
1382,Inventory,NV64,03,BBIE,2,0..1,Last Modified,Time,Time,,,TIME,Tm,The time of activity.,,
1383,Inventory,NV06,NV65,ASBIE,1,0..n,Physical Inventory,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
1384,Inventory,NV65,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
1385,Inventory,NV65,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
1386,Inventory,NV07,,ABIE,0,--,Inventory Period Balance,,,,,,InvPerBal,"Contains inventory information regarding its beginning and ending balances, quantities and durational quantities and amounts.",,
1387,Inventory,NV07,01,BBIE,1,1..1,Inventory Period Balance,Inventory Product ID,Identifier,,,IDENTIFIER 75,InvPrdctId,Unique identifier for the inventory item.Typically auto-generated by the system.Shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct] table.,,
1388,Inventory,NV07,02,BBIE,1,0..1,Inventory Period Balance,Location ID,Identifier,,,IDENTIFIER 75,LctId,Unique identifier for the organization.Shall be a valid entry in the INV_Location [InvLct] table.Typically auto-generated by the system.Shall match the Location_ID [LctId] in the INV_Location [InvLct] table.,,
1389,Inventory,NV07,03,RFBIE,1,0..1,Inventory Period Balance,Fiscal Year,,,Accounting Period,YEAR IDENTIFIER,FiscYr,"Fiscal year in which the calendar date occurs.The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD from ISO 8601-1.Shall match the Fiscal_Year [FiscYr] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Fiscal Year
1390,Inventory,NV07,04,RFBIE,1,0..1,Inventory Period Balance,Accounting Period,,,Accounting Period,PERIOD IDENTIFIER,AcntingPer,"Accounting period in which the financial statement occurs.EXAMPLE   W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, from any beginning date to any ending date.Shall match the Accounting_Period [AcntingPer] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Accounting Period
1391,Inventory,NV07,05,RFBIE,1,0..1,Inventory Period Balance,Inventory Organization Code,,,Business Segment,IDENTIFIER 25,InvOrgCd,Code for the inventory organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
1392,Inventory,NV07,06,BBIE,1,0..1,Inventory Period Balance,Lot Number,Code,,,TEXT 60,LotNr,Number associated with a product that is used for tracking and managing the lot.,,
1393,Inventory,NV07,07,BBIE,1,0..1,Inventory Period Balance,Inventory Beginning Quantity,Quantity,,,QUANTITY,InvBegQt,Quantity of an inventory as of the beginning in the Basic_UOM_Code [BasicUomCd].,,
1394,Inventory,NV07,08,BBIE,1,0..1,Inventory Period Balance,Inventory Ending Quantity,Quantity,,,QUANTITY,InvEndQt,Quantity of an inventory as of the ending in the Basic_UOM_Code [BasicUomCd].,,
1395,Inventory,NV07,09,BBIE,1,0..1,Inventory Period Balance,INV Received Quantity,Quantity,,,QUANTITY,InvRcvdQt,Goods-received quantity of cumulative inventory materials at a current period in the Basic_UOM_Code [BasicUomCd].,,
1396,Inventory,NV07,10,BBIE,1,0..1,Inventory Period Balance,INV Dispatched Quantity,Quantity,,,QUANTITY,InvDispedQt,Goods-dispatched quantity of cumulative inventory materials at a current period in the Basic_UOM_Code [BasicUomCd].,,
1397,Inventory,NV07,11,BBIE,1,0..1,Inventory Period Balance,INV Debit Amount,Monatary Amount,,,AMOUNT,InvDbAmt,Cumulative debit amount of inventory materials at a current period.,,
1398,Inventory,NV07,12,BBIE,1,0..1,Inventory Period Balance,INV Credit Amount,Monatary Amount,,,AMOUNT,InvCrAmt,Cumulative credit amount of inventory materials at a current period.,,
1399,Inventory,NV07,13,BBIE,1,0..1,Inventory Period Balance,Inventory Beginning Balance,Monatary Amount,,,AMOUNT,InvBegBal,Beginning balance of an inventory.,,
1400,Inventory,NV07,14,BBIE,1,0..1,Inventory Period Balance,Inventory Ending Balance,Monatary Amount,,,AMOUNT,InvEndBal,Ending balance of an inventory.,,
1401,Inventory,NV07,15,RFBIE,1,0..1,Inventory Period Balance,Cost Organization Code,,,Business Segment,IDENTIFIER 25,CostOrgCd,Code for the cost organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
1402,Inventory,NV07,16,RFBIE,1,0..1,Inventory Period Balance,Inventory Stocking UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,InvStckUomCd,Code for the measurement unit used associated with the quantity used for stocking inventory.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
1403,Inventory,NV07,17,RFBIE,1,0..1,Inventory Period Balance,Inventory Costing UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,InvCstngUomCd,Code for the measurement unit for the inventory's cost.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
1404,Inventory,NV07,NV66,ASBIE,1,0..n,Inventory Period Balance,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
1405,Inventory,NV66,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
1406,Inventory,NV66,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
1407,PPE,PE01,,ABIE,0,--,Property Plant and Equipment Type,,,,,,PpeTyp,Contains the details of each PPE type.,,
1408,PPE,PE01,01,BBIE,1,1..1,Property Plant and Equipment Type,Type Code,Identifier,,,IDENTIFIER 60,TypCd,"Unique code of letters and/or numbers used to represent or identify a PPE type.EXAMPLE   0201 is manufacturing equipment, 0202 is working equipment.",,
1409,PPE,PE01,02,BBIE,1,0..1,Property Plant and Equipment Type,Type Name,Text,,,TEXT 80,TypNm,"Name of the type categorized by the PPE attributes.EXAMPLE   Land, buildings, machinery, equipment.",,
1410,PPE,PE01,03,RFBIE,1,0..1,PPE Type,Parent Type ID,,,PPE Type,IDENTIFIER 60,ParTypId,Unique identifier for the parent PPE type.Typically auto-generated by the system.Shall match the Type_Code [TypCd] in the PPE_Type [PpeTyp] table.,PPE TYPE,Type Code
1411,PPE,PE02,,ABIE,0,--,PPE Master,,,,,,PpeMaster,"Contains the details of each PPE item (e.g. its code, specification, location, acquiring date, original cost, quantity).",,
1412,PPE,PE02,01,BBIE,1,1..1,PPE Master,PPE ID,Identifier,,,IDENTIFIER 100,PpeId,Unique identifier for the PPE.Typically auto-generated by the system.,,
1413,PPE,PE02,02,BBIE,1,0..1,PPE Master,PPE Code,Text,,,TEXT 60,PpeCd,Internal code of the PPE at the local level.,,
1414,PPE,PE02,03,BBIE,1,0..1,PPE Master,Tag Number,Code,,,TEXT 60,TagNr,"Tag that used to be commonly used when there was no ERP system to record the PPE's state of the whole lifespan. It is still used by some ERP systems in the business of PPE.This number is usually generated by manual input or is system-generated.EXAMPLE   When there is a PPE, a tag is created correspondingly. Each tag contains either one PPE or several PPEs. However, each PPE has its own PPE_ID [PpeId] as a unique identifier. If a tag only has one PPE, the PPE_ID [PpeId] is the same as the Tag_Number [TagNr].",,
1415,PPE,PE02,04,RFBIE,1,0..1,PPE Master,Type Code,,,PPE Type,IDENTIFIER 60,TypCd,Unique code of the PPE type.Shall match the Type_Code [TypCd] in the PPE_Type [PpeTyp] table.,PPE TYPE,Type Code
1416,PPE,PE02,05,BBIE,1,0..1,PPE Master,PPE Name,Text,,,TEXT 60,PpeNm,Name of the PPE.,,
1417,PPE,PE02,06,BBIE,1,0..1,PPE Master,PPE Feature,Text,,,TEXT 60,PpeFeature,"Feature used to specify the PPE more clearly.EXAMPLE   Brand, colour, size, configuration.",,
1418,PPE,PE02,07,BBIE,1,0..1,PPE Master,Bar Code,Text,,,TEXT 25,BarCd,Universal Product Code or other external code.EXAMPLE   The product code from a primary supplier.,,
1419,PPE,PE02,08,RFBIE,1,0..1,PPE Master,Purchase Order ID,,,Purchase Order,IDENTIFIER 100,PurOrdId,Unique identifier for the purchase order.Typically auto-generated by the system.May be set to NULL if the PPE is not generated from a purchase order. Otherwise shall match the Purchase_Order_ID [PurOrdId] in the PUR_Orders_Details [PurOrdDtls] table.,PUR ORDER,Order ID
1420,PPE,PE02,09,RFBIE,1,0..1,PPE Master,Inventory Product ID,,,Inventory Product,IDENTIFIER 75,InvPrdctId,Unique identifier for the inventory item.Typically auto-generated by the system.May be set to NULL if the PPE is not generated from inventory. Otherwise shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct].,INV PRODUCT,Inventory Product ID
1421,PPE,PE02,10,BBIE,1,0..1,PPE Master,Serial Number,Code,,,TEXT 60,SerialNr,"Number associated with an individual PPE that is used for tracking and managing.EXAMPLE   A company purchases 10 computers, with each computer assigned an individual serial number.",,
1422,PPE,PE02,11,BBIE,1,0..1,PPE Master,Lot Number,Code,,,TEXT 60,LotNr,Number associated with a PPE that is used for tracking and managing the lot.,,
1423,PPE,PE02,12,BBIE,1,0..1,PPE Master,Manufacturer,Text,,,TEXT 100,Manufacturer,Manufacturer of the PPE.,,
1424,PPE,PE02,13,RFBIE,1,0..1,PPE Master,Supplier Account ID,,,Supplier,IDENTIFIER 100,SuplAcntId,Unique identifier for the supplier.Typically auto-generated by the system.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table.,BAS SUPPLIER,Supplier Account ID
1425,PPE,PE02,14,BBIE,1,0..1,PPE Master,Location Description,Text,,,TEXT 1000,LctDscr,Description of the location where the PPE is placed.,,
1426,PPE,PE02,15,BBIE,1,0..1,PPE Master,Condition Name,Text,,,TEXT 60,ConditionNm,"Name of the various usage status of PPE.EXAMPLE   Asset in-use, not-in-use, not-in-use for seasonal reasons.",,
1427,PPE,PE02,16,BBIE,1,0..1,PPE Master,Acquisition Date,Date,,,DATE,AcqDt,Date when the PPE is acquired.,,
1428,PPE,PE02,17,BBIE,1,0..1,PPE Master,Posted Date,Date,,,DATE,PostedDt,Date when PPE is posted into accounts.,,
1429,PPE,PE02,18,BBIE,1,0..1,PPE Master,Placed Into Service Date,Date,,,DATE,PlacedIntoSrvcDt,Date that PPE is placed into use.,,
1430,PPE,PE02,19,BBIE,1,0..1,PPE Master,Quantity On Hand,Quantity,,,QUANTITY,QtOnHand,Quantity of PPE items on hand.,,
1431,PPE,PE02,20,RFBIE,1,0..1,PPE Master,UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,UomCd,Code for the measurement unit for measuring the quantity of PPE.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.,BAS MEASUREMENT UNIT,UOM Code
1432,PPE,PE02,21,BBIE,1,0..1,PPE Master,Useful Life,Code,,,NUMBER 4,UsefulLife,Total useful life of the PPE in months.,,
1433,PPE,PE02,22,BBIE,1,0..1,PPE Master,Useful Life Remaining,Code,,,NUMBER 4,UsefulLifeRmng,Remaining useful life of the PPE in months as of the report date.,,
1434,PPE,PE02,23,BBIE,1,0..1,PPE Master,Original Cost,Monatary Amount,,,AMOUNT,OriginalCost,Original cost of the PPE.,,
