d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A027-002,I,A026-A076-001,A026-A076-002,A026-A076-003,A025-A001-001,A025-A001-002,A025-A001-003,P,Q,R,S,A026-014,A026-012,A026-011,A025-009,A025-002,Y,A026-003,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-013,AM,A026-010,A026-A001-001,A026-A001-002,A026-A001-003,A026-A001-004,
0001-20091215-105-1940-1-4341,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,840,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No388株式会社　エントリー,6,㈱ｴﾝﾄﾘｰ,,customer,
0001-20091215-105-1940-1-4341,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-106-1941-1-4343,,,,entries,1941-4343,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,106,standard,,,,,,,,,,,,,,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,debit,1520108,ISO4217:JPY,2009-12-15,proposed,OrdinaryDeposit,09年12月15日伝票No389タワー株式会社,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi Tokyo Bank Umeda,40,Sub account,,,,,,,,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,1520108,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No389タワー株式会社,8,ﾀﾜｰ㈱,,customer,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,741,Bank transaction fee,account,,,,debit,800,ISO4217:JPY,2009-12-15,proposed,CommissionExpense,09年12月15日伝票No389タワー株式会社,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,40,ISO4217:JPY,2009-12-15,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,840,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No389タワー株式会社,8,ﾀﾜｰ㈱,,customer,
0001-20091215-106-1941-1-4343,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-107-1942-1-4345,,,,entries,1942-4345,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,107,standard,,,,,,,,,,,,,,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,debit,1367755,ISO4217:JPY,2009-12-15,proposed,OrdinaryDeposit,09年12月15日伝票No390高橋物産株式会社,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi Tokyo Bank Umeda,40,Sub account,,,,,,,,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,1367755,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No390高橋物産株式会社,9,高橋物産㈱,,customer,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,741,Bank transaction fee,account,,,,debit,800,ISO4217:JPY,2009-12-15,proposed,CommissionExpense,09年12月15日伝票No390高橋物産株式会社,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,40,ISO4217:JPY,2009-12-15,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,840,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No390高橋物産株式会社,9,高橋物産㈱,,customer,
0001-20091215-107-1942-1-4345,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-108-1943-1-4347,,,,entries,1943-4347,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,108,standard,,,,,,,,,,,,,,,,,,
0001-20091215-108-1943-1-4347,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,debit,956606,ISO4217:JPY,2009-12-15,proposed,OrdinaryDeposit,09年12月15日伝票No391阿部商事株式会社,,,,,
0001-20091215-108-1943-1-4347,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-108-1943-1-4347,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mizuho Bank Head Office,20,Sub account,,,,,,,,,,,,
0001-20091215-108-1943-1-4347,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,956606,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No391阿部商事株式会社,13,阿部商事㈱,,customer,
0001-20091215-108-1943-1-4347,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-109-1944-1-4349,,,,entries,1944-4349,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,109,standard,,,,,,,,,,,,,,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,debit,1056671,ISO4217:JPY,2009-12-15,proposed,OrdinaryDeposit,09年12月15日伝票No392株式会社　久城商事,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi Tokyo Bank Umeda,40,Sub account,,,,,,,,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,1056671,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No392株式会社　久城商事,20,㈱久城商事,,customer,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,741,Bank transaction fee,account,,,,debit,300,ISO4217:JPY,2009-12-15,proposed,CommissionExpense,09年12月15日伝票No392株式会社　久城商事,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,15,ISO4217:JPY,2009-12-15,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,315,ISO4217:JPY,2009-12-15,proposed,AccountsReceivableTradeGross,09年12月15日伝票No392株式会社　久城商事,20,㈱久城商事,,customer,
0001-20091215-109-1944-1-4349,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-110-1945-1-4351,,,,entries,1945-4351,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,110,standard,,,,,,,,,,,,,,,,,,
0001-20091215-110-1945-1-4351,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,312,Accounts payable,account,,,,debit,6139437,ISO4217:JPY,2009-12-15,proposed,NotesPayableCustomerTradeAccountsPayable,09年12月15日伝票No305株式会社　Y2,1,㈱Y2,,vendor,
0001-20091215-110-1945-1-4351,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-110-1945-1-4351,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,6139437,ISO4217:JPY,2009-12-15,proposed,OrdinaryDeposit,09年12月15日伝票No305株式会社　Y2,,,,,
0001-20091215-110-1945-1-4351,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-110-1945-1-4351,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mizuho Bank Head Office,20,Sub account,,,,,,,,,,,,
0001-20091215-117-1946-1-4353,,,,entries,1946-4353,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,117,standard,,,,,,,,,,,,,,,,,,
0001-20091215-117-1946-1-4353,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,742,Dues,account,,,,debit,20000,ISO4217:JPY,2009-12-15,proposed,MembershipExpense,会費,,,,,
0001-20091215-117-1946-1-4353,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-117-1946-1-4353,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,20000,ISO4217:JPY,2009-12-15,proposed,CashHand,会費,,,,,
0001-20091215-117-1946-1-4353,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-130-1947-1-4355,,,,entries,1947-4355,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,130,standard,,,,,,,,,,,,,,,,,,
0001-20091215-130-1947-1-4355,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,742,Dues,account,,,,debit,24000,ISO4217:JPY,2009-12-15,proposed,MembershipExpense,会費,,,,,
0001-20091215-130-1947-1-4355,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091215-130-1947-1-4355,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,24000,ISO4217:JPY,2009-12-15,proposed,OrdinaryDeposit,会費,,,,,
0001-20091215-130-1947-1-4355,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-130-1947-1-4355,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi Tokyo Bank Umeda,40,Sub account,,,,,,,,,,,,
0001-20091215-4-1936-1-4333,,,,entries,1936-4333,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,4,standard,,,,,,,,,,,,,,,,,,
0001-20091215-4-1936-1-4333,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,732,Advertising expense,account,,,,debit,30000,ISO4217:JPY,2009-12-15,proposed,AdvertisingExpense,広告費,,,,,
0001-20091215-4-1936-1-4333,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20091215-4-1936-1-4333,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,1500,ISO4217:JPY,2009-12-15,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091215-4-1936-1-4333,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20091215-4-1936-1-4333,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,322,Credit card accounts payable,account,,,,credit,31500,ISO4217:JPY,2009-12-15,proposed,AccountsPayableOther,広告費,,,,,
0001-20091215-4-1936-1-4333,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,,,,entries,1937-4335,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,83,standard,,,,,,,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,6229,ISO4217:JPY,2009-12-15,proposed,VehiclesExpense,ガソリン代,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,311,ISO4217:JPY,2009-12-15,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,11600,ISO4217:JPY,2009-12-15,proposed,CashHand,ガソリン代,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,4020,ISO4217:JPY,2009-12-15,proposed,VehiclesExpense,高速代,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,200,ISO4217:JPY,2009-12-15,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,800,ISO4217:JPY,2009-12-15,proposed,VehiclesExpense,駐車代,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,40,ISO4217:JPY,2009-12-15,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091215-83-1937-1-4335,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20091215-91-1938-1-4337,,,,entries,1938-4337,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,91,standard,,,,,,,,,,,,,,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,721,Miscellaneous wages,account,,,,debit,423840,ISO4217:JPY,2009-12-15,proposed,WagesParttimer,12月給与Others,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,400068,ISO4217:JPY,2009-12-15,proposed,CashHand,12月給与Others,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,326,Deposit,account,,,,credit,11330,ISO4217:JPY,2009-12-15,proposed,DepositsReceivedOther,12月給与Others,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Withholding tax,3,Sub account,,,,,,,,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,326,Deposit,account,,,,credit,12442,ISO4217:JPY,2009-12-15,proposed,DepositsReceivedOther,12月給与Others,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091215-91-1938-1-4337,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Others,9,Sub account,,,,,,,,,,,,
0001-20091216-136-1951-1-4363,,,,entries,1951-4363,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,136,standard,,,,,,,,,,,,,,,,,,
0001-20091216-136-1951-1-4363,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,791,Miscellaneous expenses,account,,,,debit,15715,ISO4217:JPY,2009-12-16,proposed,MiscellaneousExpense,ダスキン代,,,,,
0001-20091216-136-1951-1-4363,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091216-136-1951-1-4363,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,785,ISO4217:JPY,2009-12-16,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091216-136-1951-1-4363,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091216-136-1951-1-4363,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,16500,ISO4217:JPY,2009-12-16,proposed,CashHand,ダスキン代,,,,,
0001-20091216-136-1951-1-4363,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091216-144-1952-1-4365,,,,entries,1952-4365,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:38:38,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,144,standard,,,,,,,,,,,,,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,572,ISO4217:JPY,2009-12-16,proposed,VehiclesExpense,ウォッシャー液代,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,28,ISO4217:JPY,2009-12-16,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,15640,ISO4217:JPY,2009-12-16,proposed,CashHand,ウォッシャー液代,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,6229,ISO4217:JPY,2009-12-16,proposed,VehiclesExpense,ガソリン代,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,311,ISO4217:JPY,2009-12-16,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,8096,ISO4217:JPY,2009-12-16,proposed,VehiclesExpense,ガソリン代,,,,,
0001-20091216-144-1952-1-4365,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
